Http error,Code error,Message error,Parameters
Bad Request,400,Bad Request: BOT_SCORE_NOT_MODIFIED,
Bad Request,400,Bad Request: can't parse entities in message text: Can't find end of the entity starting at byte offset X,
Bad Request,400,Bad Request: can't parse entities in message text: Can't found end tag corresponding to start tag at byte offset X,
Bad Request,400,Bad Request: can't parse entities in message text: Expected end tag at byte offset X,
Bad Request,400,"Bad Request: can't parse entities in message text: Expected equal sign in declaration of attribute of the tag ""foo"" at byte offset X",
Bad Request,400,Bad Request: can't parse entities in message text: Unclosed end tag at byte offset X,
Bad Request,400,Bad Request: can't parse entities in message text: Unclosed start tag at byte offset X,
Bad Request,400,Bad Request: can't parse entities in message text: Unexpected end of name token at byte offset X,
Bad Request,400,Bad Request: can't parse entities in message text: Unexpected end tag at byte offset X,
Bad Request,400,"Bad Request: can't parse entities in message text: Unmatched end tag at byte offset X, expected ""X"", found ""X""",
Bad Request,400,Bad Request: can't parse entities in message text: Unsupported start tag foo at byte offset X,
Bad Request,400,Bad Request: channel members are unavailable,
Bad Request,400,Bad Request: CHAT_ADMIN_REQUIRED,
Bad Request,400,Bad Request: chat_id is empty,
Bad Request,400,Bad Request: ENTITY_MENTION_USER_INVALID,
Bad Request,400,Bad Request: failed to get HTTP URL content,
Bad Request,400,Bad Request: group chat was migrated to a supergroup chat,"{""migrate_to_chat_id"":X}"
Bad Request,400,Bad Request: have no rights to send a message,
Bad Request,400,Bad Request: invalid file id,
Bad Request,400,Bad Request: message can't be deleted,
Bad Request,400,Bad Request: message can't be edited,
Bad Request,400,Bad Request: message can't be forwarded,
Bad Request,400,Bad Request: message is not modified,
Bad Request,400,Bad Request: message must be non-empty,
Bad Request,400,Bad Request: message text is empty,
Bad Request,400,Bad Request: message to delete not found,
Bad Request,400,Bad Request: message to edit not found,
Bad Request,400,Bad Request: message to forward not found,
Bad Request,400,Bad Request: MESSAGE_ID_INVALID,
Bad Request,400,Bad Request: QUERY_ID_INVALID,
Bad Request,400,Bad Request: reply message not found,
Bad Request,400,Bad Request: RESULT_TYPE_INVALID,
Bad Request,400,Bad Request: USER_ID_INVALID,
Bad Request,400,Bad Request: wrong file identifier/HTTP URL specified,
Bad Request,400,Bad Request: wrong file_id or the file is temporarily unavailable,
Bad Request,400,Bad Request: wrong parameter action in request,
Bad Request,400,Bad Request: wrong persistent file_id specified: can't unserialize it. Wrong last symbol,
Bad Request,400,Bad Request: file {path_to_file} is too big for a photo [size:{X}MB],
Bad Request,400,Bad Request: message is not modified: specified new message content and reply markup are exactly the same as a current content and reply markup of the message,
Bad Request,400,Bad Request: message identifier is not specified,
Bad Request,400,Bad Request: message is too long,
Bad Request,400,Bad Request: Too much messages to send as an album,
Bad Request,400,Bad Request: poll has already been closed,
Bad Request,400,Bad Request: poll must have at least 2 option,
Bad Request,400,Bad Request: poll can't have more than 10 options,
Bad Request,400,Bad Request: poll options must be non-empty,
Bad Request,400,Bad Request: poll question must be non-empty,
Bad Request,400,Bad Request: poll options length must not exceed 100,
Bad Request,400,Bad Request: poll question length must not exceed 255,
Bad Request,400,Bad Request: message with poll to stop not found,
Bad Request,400,Bad Request: message is not a poll,
Bad Request,400,Bad Request: chat not found,
Bad Request,400,Bad Request: user not found,
Bad Request,400,Bad Request: chat description is not modified,
Bad Request,400,Bad Request: query is too old and response timeout expired or query id is invalid,
Bad Request,400,Bad Request: BUTTON_URL_INVALID,
Bad Request,400,Bad Request: BUTTON_DATA_INVALID,
Bad Request,400,Bad Request: can't parse inline keyboard button: Text buttons are unallowed in the inline keyboard,
Bad Request,400,Bad Request: wrong file id,
Bad Request,400,Bad Request: group is deactivated,
Bad Request,400,Bad Request: Photo should be uploaded as an InputFile,
Bad Request,400,Bad Request: STICKERSET_INVALID,
Bad Request,400,Bad Request: not enough rights to pin a message,
Bad Request,400,Bad Request: method is available only for supergroups and channel,
Bad Request,400,Bad Request: can't demote chat creator,
Bad Request,400,Bad Request: can't restrict self,
Bad Request,400,Bad Request: not enough rights to restrict/unrestrict chat member,
Bad Request,400,Bad Request: bad webhook: HTTPS url must be provided for webhook,
Bad Request,400,"Bad Request: bad webhook: Webhook can be set up only on ports 80, 88, 443 or 8443",
